안어	안.어
회사에 뭐 하러 가셨는데	회.사.에.뭐.하.러.가.셨.는.데
빵 사고 까까 사러 가셨어	빵.사.고.까.까.사.러.가.셨.어
그리고 또 뭐해	그.리.고.또.뭐.해
거기 가서	거.기.가.서
돈 벌고 과자 사구	돈.벌.고.과.자.사.구
엄마는 어디 가는데	엄.마.는.어.디.가.는.데
학교	학.교
엄마는 학교 가서 뭐해	엄.마.는.학.교.가.서.뭐.해
그게 뭔데	그.게.뭔.데
학교 가서 뭐하고 와	학.교.가.서.뭐.하.고.와
응	응
공부해	공.부.해
과자 사	과.자.사
찐이 뭐하니	찐.이.뭐.하.니
고추해	고.추.해
고추 따	고.추.따
아이고	아.이.고
야 찐아 니 이 애기 뭐하니 지금	야.찐.아.니.이.애.기.뭐.하.니.지.금
우유 먹고 뭐하는데	우.유.먹.고.뭐.하.는.데
코 자	코.자
응	응
뭐 했다	뭐.했.다
울며 어떻게 했다	울.며.어.떻.게.했.다
으응	으.응
엄마가 이렇게 끌고 가는 거야	엄.마.가.이.렇.게.끌.고.가.는.거.야
어응 찐이도 애기 때 그랬지	어.응.찐.이.도.애.기.때.그.랬.지
어제	어.제
어지 그랬어	어.지.그.랬.어
어지	어.지
음	음
응	응
병원 갔어	병.원.갔.어
병원	병.원
병원은 언제 가는데	병.원.은.언.제.가.는.데
하하 또 시계 봐	하.하.또.시.계.봐
언제 가는데 하니까	언.제.가.는.데.하.니.까
어어 병원은 어떨 때 가	어.어.병.원.은.어.떨.때.가
으응	으.응
그건 뭐야	그.건.뭐.야
응 야 지원아	응.야.지.원.아
어	어
이거 뭐니	이.거.뭐.니
자전거	자.전.거
찐이도 있잖아 이거	찐.이.도.있.잖.아.이.거
아빠가 사 준 거	아.빠.가.사.준.거
사줬잖아 아빠가	사.줬.잖.아.아.빠.가
자전거	자.전.거
지원이 자전거 밖에 있잖아	지.원.이.자.전.거.밖.에.있.잖.아
찐 자전거 있지	찐.자.전.거.있.지
응	응
응	응
잘 타	잘.타
으응	으.응
니가 잘 타	니.가.잘.타
이건 뭐야	이.건.뭐.야
뻐스가 아냐	뻐.스.가.아.냐
택시라니까	택.시.라.니.까
택시	택.시
버스 언제 타 봤니 너	버.스.언.제.타.봤.니.너
언제	언.제
응	응
뻐스 언제 타 봤어	뻐.스.언.제.타.봤.어
누구하고 타 봤어	누.구.하.고.타.봤.어
응	응
응 버스 언제 탔어	응.버.스.언.제.탔.어
누구하고 탔어 버스	누.구.하.고.탔.어.버.스
택시	택.시
택시	택.시
으응	으.응
트랙터	트.랙.터
병원이지	병.원.이.지
몰라	몰.라
야 지원아 배 고프니	야.지.원.아.배.고.프.니
졸리니	졸.리.니
졸린 것 같은데	졸.린.것.같.은.데
뭐	뭐
내꺼	내.꺼
뭐	뭐
있잖아 지원이 	있.잖.아.지.원.이
지원이 자전거 어디 있어	지.원.이.자.전.거.어.디.있.어
밖에 있지	밖.에.있.지
으음	으.음
자전거 탈까	자.전.거.탈.까
응 가자	응.가.자
녹음기 갖고 왔으니 말좀 해봐	녹.음.기.갖.고.왔.으.니.말.좀.해.봐
말 안해	말.안.해
응	응
말 한다구	말.한.다.구
무슨 말해	무.슨.말.해
말하고 있어	말.하.고.있.어
지원아 지금 하늘에 뭐 있니	지.원.아.지.금.하.늘.에.뭐.있.니
달 있어	달.있.어
으응	으.응
달이 떴다	달.이.떴.다
으응 달이 떴다	으.응.달.이.떴.다
무슨 소리니	무.슨.소.리.니
할머니가 빵빵 했어	할.머.니.가.빵.빵.했.어
으음	으.음
으응	으.응
뭐	뭐
그거	그.거
녹음기지	녹.음.기.지
그거 뭐야	그.거.뭐.야
그거	그.거
녹음기	녹.음.기
으응	으.응
어이구	어.이.구
노래 잘하네요	노.래.잘.하.네.요
어이구 노래도 잘하네	어.이.구.노.래.도.잘.하.네
누구 생일을 축하했어	누.구.생.일.을.축.하.했.어
할머니 생일	할.머.니.생.일
으응	으.응
응	응
엄마도 먹고 찐이도 먹고	엄.마.도.먹.고.찐.이.도.먹.고
할머니는	할.머.니.는
호호호	호.호.호
아이 착해서 엄마도 먹으라 그래	아.이.착.해.서.엄.마.도.먹.으.라.그.래
으응	으.응
똘똘	똘.똘
뭐라고 다시 말해봐	뭐.라.고.다.시.말.해.봐
엄만 심퉁이고 찐 똘똘이고	엄.만.심.퉁.이.고.찐.똘.똘.이.고
아니지 찐 심통 	아.니.지.찐.심.통
아이구 착하네	아.이.구.착.하.네
지원이는 왜 아까 심술 났어 응	지.원.이.는.왜.아.까.심.술.났.어.응
얘 지원이 큰 애니	얘.지.원.이.큰.애.니
큰 애야	큰.애.야
큰 애는 어떻게 해	큰.애.는.어.떻.게.해
아기구 큰 애고	아.기.구.큰.애.고
아기 아니지	아.기.아.니.지
누가	누.가
응	응
누가 그래	누.가.그.래
아이구 잘하네	아.이.구.잘.하.네
으흐흐흐 	으.흐.흐.흐
어휴	어.휴
아이구 잘하네	아.이.구.잘.하.네
엄마도 하라고	엄.마.도.하.라.고
엄만 못해	엄.만.못.해
아이구 그럼 녹음 끄구	아.이.구.그.럼.녹.음.끄.구
뭐라구	뭐.라.구
찐인 누구라고	찐.인.누.구.라.고
찐인 척척박사고 큰 애고	찐.인.척.척.박.사.고.큰.애.고
햐	햐
굉장하구나	굉.장.하.구.나
으응 말해	으.응.말.해
지원이 그리고 또 뭐 할까	지.원.이.그.리.고.또.뭐.할.까
이거 해	이.거.해
응	응
그럼 다시 이거 놓고	그.럼.다.시.이.거.놓.고
찐이가 써 보세요	찐.이.가.써.보.세.요
뭐 쓸까 그럼	뭐.쓸.까.그.럼
주께	주.께
그렇게 만들어	그.렇.게.만.들.어
어어 	어.어
잘 보세요	잘.보.세.요
어떻게 만드나	어.떻.게.만.드.나
요거 맞았어	요.거.맞.았.어
잘 봐봐	잘.봐.봐
요거 지원이	요.거.지.원.이
그 다음은 뭐하고	그.다.음.은.뭐.하.고
지원아	지.원.아
으응	으.응
봐	봐
어디 봐	어.디.봐
왜 시계 봐	왜.시.계.봐
어어어	어.어.어
뭐라고 이거	뭐.라.고.이.거
지원이 요렇게 숫자 다했죠	지.원.이.요.렇.게.숫.자.다.했.죠
응	응
이제 숫자 나오면 다 알죠	이.제.숫.자.나.오.면.다.알.죠
또 뭐할까	또.뭐.할.까
아빠 만들어	아.빠.만.들.어
아이고 아빠를 어떻게 만들어 엄마가	아.이.고.아.빠.를.어.떻.게.만.들.어.엄.마.가
거기 만들어 줘	거.기.만.들.어.줘
그럼 엄마가 써 줄께	그.럼.엄.마.가.써.줄.께
니가 응	니.가.응
만들어 봐	만.들.어.봐
아빠는 이러는 거야	아.빠.는.이.러.는.거.야
이거 줄께	이.거.줄.께
아빠	아.빠
여기 내려와 인제	여.기.내.려.와.인.제
바닥에 앉아서 이거 보고 똑같이 만들어	바.닥.에.앉.아.서.이.거.보.고.똑.같.이.만.들.어
아빠 만들어 봐	아.빠.만.들.어.봐
이것 보고 똑같이 만들어 봐	이.것.보.고.똑.같.이.만.들.어.봐
뭐 갖다가 붙일거냐	뭐.갖.다.가.붙.일.거.냐
응	응
그건 어따 붙여	그.건.어.따.붙.여
그러고 이거 보고서 해	그.러.고.이.거.보.고.서.해
응	응
그래	그.래
또	또
옳지	옳.지
잘하네	잘.하.네
또	또
또	또
아니지	아.니.지
요것도 써야지	요.것.도.써.야.지
동그래미도 갖다 붙여야지	동.그.래.미.도.갖.다.붙.여.야.지
자 이거 보고 하세요	자.이.거.보.고.하.세.요
이거	이.거
어떻게 만들었어요	어.떻.게.만.들.었.어.요
이거 요기 갖다 놨지	이.거.요.기.갖.다.놨.지
응	응
요거 봐	요.거.봐
그치	그.치
그 다음에 요거랑 똑같이 만들어 봐	그.다.음.에.요.거.랑.똑.같.이.만.들.어.봐
그 다음에 요거 써야지	그.다.음.에.요.거.써.야.지
요렇게 하고 요렇게	요.렇.게.하.고.요.렇.게
아빠됐네	아.빠.됐.네
아빠 똑같네 그치	아.빠.똑.같.네.그.치
엄마 해 보까 그럼	엄.마.해.보.까.그.럼
어 엄	어.엄
그럼 이렇게 똑같이 만들어 보세요	그.럼.이.렇.게.똑.같.이.만.들.어.보.세.요
엄 마	엄.마
응	응
해봐	해.봐
만들어 봐	만.들.어.봐
엄마 요렇게 만들어 봐	엄.마.요.렇.게.만.들.어.봐
요거 보고 똑같이 만들어 봐	요.거.보.고.똑.같.이.만.들.어.봐
요렇게	요.렇.게
어떻게 만들면 될까	어.떻.게.만.들.면.될.까
응	응
그래	그.래
갖다 붙여 봐	갖.다.붙.여.봐
요렇게 똑같이 만들어 봐	요.렇.게.똑.같.이.만.들.어.봐
옳지 그거를 갖다 놓고 그 다음에 응	옳.지.그.거.를.갖.다.놓.고.그.다.음.에.응
갖다 놓고	갖.다.놓.고
응	응
그 다음에 또	그.다.음.에.또
응	응
갖다 놓고 옳지	갖.다.놓.고.옳.지
요건 어따 놓을까	요.건.어.따.놓.을.까
잘 보세요	잘.보.세.요
여기 보세요	여.기.보.세.요
잘 보세요	잘.보.세.요
어떻게 놓을까	어.떻.게.놓.을.까
요건 요렇게 놔야지	요.건.요.렇.게.놔.야.지
봐 그치	봐.그.치
응	응
요거 엇따 놔	요.거.엇.따.놔
응	응
그렇게 하구 싶어	그.렇.게.하.구.싶.어
응 그래요	응.그.래.요
또 뭐해	또.뭐.해
아기	아.기
엄마가 아기라고 썼잖어	엄.마.가.아.기.라.고.썼.잖.어
그러니까 너도 만들어 봐	그.러.니.까.너.도.만.들.어.봐
이모 아기	이.모.아.기
이모 아기	이.모.아.기
이모 아기	이.모.아.기
이모 아기도 아기는 똑 같애	이.모.아.기.도.아.기.는.똑.같.애
아기야	아.기.야
엄마가 해 줘	엄.마.가.해.줘
그래	그.래
어디 있다	어.디.있.다
아기 지원이 여기 있다구	아.기.지.원.이.여.기.있.다.구
까꿍	까.꿍
야 지원아	야.지.원.아
찐도 뭐	찐.도.뭐
야 우리 퍼즐이나 집어 넣자	야.우.리.퍼.즐.이.나.집.어.넣.자
응	응
끼워 맞추기 하자	끼.워.맞.추.기.하.자
엄마랑 지원이랑 누가 먼저 하나 끼워 봅시다	엄.마.랑.지.원.이.랑.누.가.먼.저.하.나.끼.워.봅.시.다
엄마는 한다	엄.마.는.한.다
여기다 놓고 하는 거야 이렇게	여.기.다.놓.고.하.는.거.야.이.렇.게
잔잔잔 자 음	잔.잔.잔.자.음
뚜뚜뚜뚜뚜 두	뚜.뚜.뚜.뚜.뚜.두
아 지원이 잘 했네	아.지.원.이.잘.했.네
짜아안	짜.아.안
어디다 낄라구	어.디.다.낄.라.구
눌러야지	눌.러.야.지
할머니 오셨다	할.머.니.오.셨.다
병원 갔다 왔어	병.원.갔.다.왔.어
으응	으.응
찐 신 신구	찐.신.신.구
꼬까 신 신구	꼬.까.신.신.구
그러구 또 뭐 샀어	그.러.구.또.뭐.샀.어
찐 꼬까 좀 갖고 와봐	찐.꼬.까.좀.갖.고.와.봐
또 또 할머니가 사 주신 꼬까 갖고 와봐	또.또.할.머.니.가.사.주.신.꼬.까.갖.고.와.봐
고기 걸려 있다	고.기.걸.려.있.다
저기 엄마 방에	저.기.엄.마.방.에
어어 그래	어.어.그.래
그거 어머님 주신 돈으로 사 준 거에요	그.거.어.머.님.주.신.돈.으.로.사.준.거.에.요
할머니 돈 줘서 꼬까 샀어	할.머.니.돈.줘.서.꼬.까.샀.어
찐 꼬깐데 좀 입어 봐라	찐.꼬.깐.데.좀.입.어.봐.라
야 입어 볼래	야.입.어.볼.래
그래 그래	그.래.그.래
해	해
말해 봐	말.해.봐
지원이 뭐라고 말할 꺼야	지.원.이.뭐.라.고.말.할.꺼.야
아까 지원이 이모한테 전화와서 뭐라 그랬어	아.까.지.원.이.이.모.한.테.전.화.와.서.뭐.라.그.랬.어
응	응
일찍 오세요 했어	일.찍.오.세.요.했.어
응	응
뭐라고	뭐.라.고
놀러 오세요 그랬어	놀.러.오.세.요.그.랬.어
우리 집에	우.리.집.에
응	응
아빠한테 뭐라 그랬어	아.빠.한.테.뭐.라.그.랬.어
뭐야	뭐.야
일찍 오셔요 그랬어	일.찍.오.셔.요.그.랬.어
이모한테는	이.모.한.테.는
이모한텐 뭐	이.모.한.텐.뭐
아	아
놀러 오세요 그랬어	놀.러.오.세.요.그.랬.어
응	응
그러면 현진 이모한테 전화해 주까	그.러.면.현.진.이.모.한.테.전.화.해.주.까
아참	아.참
그 집 앤썰링 머쉰이지	그.집.앤.썰.링.머.쉰.이.지
지원이 어제 어디 갔다 왔니	지.원.이.어.제.어.디.갔.다.왔.니
응	응
오오	오.오
앉았다	앉.았.다
얘 누구니	얘.누.구.니
아기야	아.기.야
누구 아기	누.구.아.기
응	응
누가 앉았다	누.가.앉.았.다
이 아기 이쁘니	이.아.기.이.쁘.니
누구 아기야	누.구.아.기.야
말	말
찾아봐 니가	찾.아.봐.니.가
응	응
응	응
말 찾아서 맘마 먹어	말.찾.아.서.맘.마.먹.어
말이 어디서 맘마 먹어	말.이.어.디.서.맘.마.먹.어
어어	어.어
또 있네 말	또.있.네.말
어이구	어.이.구
말이 어디서 맘마 먹어	말.이.어.디.서.맘.마.먹.어
응	응
어디서 맘마 먹어	어.디.서.맘.마.먹.어
맘마 통 있어	맘.마.통.있.어
어디서 맘마 먹어	어.디.서.맘.마.먹.어
아 그게 말 맘마 통이야	아.그.게.말.맘.마.통.이.야
응	응
으응	으.응
오	오
그거 뭐 주는 거야	그.거.뭐.주.는.거.야
어머 물도 줬어	어.머.물.도.줬.어
또 뭐 줄 것 없니	또.뭐.줄.것.없.니
그건 뭐야	그.건.뭐.야
어 말 탔어	어.말.탔.어
그럼 말은 물만 먹어	그.럼.말.은.물.만.먹.어
배 안 고플까	배.안.고.플.까
글쎄	글.쎄
말이 물만 먹으면 배 안 고플까	말.이.물.만.먹.으.면.배.안.고.플.까
응	응
뭔가 먹을 게 있어야지	뭔.가.먹.을.게.있.어.야.지
혼자 가라구	혼.자.가.라.구
누가	누.가
으응	으.응
얘네 둘이 똑같이 앉았다	얘.네.둘.이.똑.같.이.앉.았.다
응	응
오오 그랬어	오.오.그.랬.어
응	응
누구한테 말했어	누.구.한.테.말.했.어
으응	으.응
얘는 누구야	얘.는.누.구.야
얘도 말이야	얘.도.말.이.야
으응	으.응
얘는 양이야	얘.는.양.이.야
말 아니야	말.아.니.야
음	음
양	양
응	응
어	어
음	음
할머니 약이 아니라	할.머.니.약.이.아.니.라
할머니 양	할.머.니.양
할머니 어딨어	할.머.니.어.딨.어
천천히 먹어	천.천.히.먹.어
그게 상이야	그.게.상.이.야
누구 상	누.구.상
음	음
말이 밥 먹는 상이야	말.이.밥.먹.는.상.이.야
바닥에 놓고 먹어	바.닥.에.놓.고.먹.어
아이 지원이 착하네	아.이.지.원.이.착.하.네
말 먹이도 저렇게 열심히 주고	말.먹.이.도.저.렇.게.열.심.히.주.고
음	음
같이 먹어	같.이.먹.어
으음	으.음
말이 몇마리가 같이 먹어	말.이.몇.마.리.가.같.이.먹.어
몇 마리가 있어	몇.마.리.가.있.어
말 세개 있어	말.세.개.있.어
어디 세 봐	어.디.세.봐
다시 세봐	다.시.세.봐
응	응
음	음
음	음
옳지	옳.지
네 마리나 있구나	네.마.리.나.있.구.나
그러면 지원아	그.러.면.지.원.아
엄마가 재미난 거 해 주께	엄.마.가.재.미.난.거.해.주.께
언니야가 하나 있지	언.니.야.가.하.나.있.지
응	응
그 다음에 또 언니야가 하나 있지	그.다.음.에.또.언.니.야.가.하.나.있.지
그럼 언니야가 몇 마 언니야 몇개 있어	그.럼.언.니.야.가.몇.마.언.니.야.몇.개.있.어
언니야 몇개 있어	언.니.야.몇.개.있.어
야 좋아	야.좋.아
그만 해 봐	그.만.해.봐
언니야 몇개 있어	언.니.야.몇.개.있.어
언니야 몇개 있어	언.니.야.몇.개.있.어
아이구 되지도 않네 이 사람은	아.이.구.되.지.도.않.네.이.사.람.은
할아버진 빼고	할.아.버.진.빼.고
할아버진 싫어	할.아.버.진.싫.어
언니야만 있어	언.니.야.만.있.어
언니야 몇개 있어	언.니.야.몇.개.있.어
응	응
그러면 다 몇개 있어	그.러.면.다.몇.개.있.어
음	음
누구 앉았니	누.구.앉.았.니
음	음
무슨 아빠 앵이야	무.슨.아.빠.앵.이.야
어디	어.디
오오	오.오
오늘 유리창 청소한대	오.늘.유.리.창.청.소.한.대
지원이 옷 입으까	지.원.이.옷.입.으.까
아찌가 보면 창피하니까 응	아.찌.가.보.면.창.피.하.니.까.응
바지 입으까	바.지.입.으.까
응	응
그래	그.래
가자	가.자
그리고 아찌들 청소하는 거 보자	그.리.고.아.찌.들.청.소.하.는.거.보.자
왜	왜
왜	왜
이렇게 다 어떻게 들어 가니	이.렇.게.다.어.떻.게.들.어.가.니
같이 입고 싶어	같.이.입.고.싶.어
그러면 이 위로 있어야지 뭐 어떻하겠어	그.러.면.이.위.로.있.어.야.지.뭐.어.떻.하.겠.어
야	야
많다	많.다
언니 몇명이니	언.니.몇.명.이.니
여기 몇개	여.기.몇.개
다시 세어 봐	다.시.세.어.봐
언니	언.니
응	응
음	음
음	음
아이구 인제 잘 하네	아.이.구.인.제.잘.하.네
그러면 지원아 언니 넷이 있지	그.러.면.지.원.아.언.니.넷.이.있.지
여다가 하나 더 더하면 몇개가 되겠니	여.다.가.하.나.더.더.하.면.몇.개.가.되.겠.니
셔 봐	셔.봐
처음부터 셔 봐야지	처.음.부.터.셔.봐.야.지
처음부터 셔 봐야지	처.음.부.터.셔.봐.야.지
아홉개 있어	아.홉.개.있.어
다시 한번 셔 봐	다.시.한.번.셔.봐
맞았습니다	맞.았.습.니.다
그러며는 있잖아 지원아	그.러.며.는.있.잖.아.지.원.아
엄마가 또 물어 볼께	엄.마.가.또.물.어.볼.께
언니 셋이 있구	언.니.셋.이.있.구
어어	어.어
언니 둘이 있네	언.니.둘.이.있.네
요렇게 있으면 몇명 있어	요.렇.게.있.으.면.몇.명.있.어
셔 봐	셔.봐
몇명 있어 여기	몇.명.있.어.여.기
또니	또.니
또니 뭐	또.니.뭐
또 언니 있다구	또.언.니.있.다.구
요기 있네 언니	요.기.있.네.언.니
그럼 전부 몇 명 있어	그.럼.전.부.몇.명.있.어
음	음
음	음
넷 있어	넷.있.어
아닌 거 같은데	아.닌.거.같.은.데
하나	하.나
둘	둘
셋	셋
넷	넷
다섯 있는 것 같은데	다.섯.있.는.것.같.은.데
뭐	뭐
그러며는 언니 하나 있고 말이 하나 있어 몇개 있니	그.러.며.는.언.니.하.나.있.고.말.이.하.나.있.어.몇.개.있.니
에이	에.이
어이	어.이
정말 되게 안 듣네	정.말.되.게.안.듣.네
음	음
어디 보자	어.디.보.자
하나 둘 셋 넷 다섯 여섯	하.나.둘.셋.넷.다.섯.여.섯
아니다 야	아.니.다.야
너 다시 셔봐	너.다.시.셔.봐
이거 몇개 있나	이.거.몇.개.있.나
아이구 한개씩 세어야지	아.이.구.한.개.씩.세.어.야.지
하나	하.나
둘	둘
셋 그게 뭐니	셋.그.게.뭐.니
음	음
얌얌얌	얌.얌.얌
얌얌얌	얌.얌.얌
응	응
잘 했다	잘.했.다
너 그거 뭐니	너.그.거.뭐.니
응	응
어느게 맘마니	어.느.게.맘.마.니
어디 보자	어.디.보.자
우리 이거 뭔가 좀 자세히 보자	우.리.이.거.뭔.가.좀.자.세.히.보.자
일루 와서 앉어	일.루.와.서.앉.어
어느 거	어.느.거
응	응
꼬마야	꼬.마.야
뭐야	뭐.야
이거 뭐니 이거	이.거.뭐.니.이.거
어떤 맘맘이야	어.떤.맘.맘.이.야
여름에 지원이 이거 많이 먹었잖아	여.름.에.지.원.이.이.거.많.이.먹.었.잖.아
그거 뭐야	그.거.뭐.야
그거 뭔데	그.거.뭔.데
수박 아니야 수박	수.박.아.니.야.수.박
응	응
맞았다	맞.았.다
응	응
수박 그런데 잊어 버렸어	수.박.그.런.데.잊.어.버.렸.어
수박 맛있어	수.박.맛.있.어
아빠하고	아.빠.하.고
아빠하고 뭐	아.빠.하.고.뭐
먹었었어	먹.었.었.어
응	응
어어	어.어
아빠하고 먹었었어	아.빠.하.고.먹.었.었.어
어지	어.지
어지 먹었어	어.지.먹.었.어
어제 먹었대	어.제.먹.었.대
야 지원아 우리 테레비 보자 우리	야.지.원.아.우.리.테.레.비.보.자.우.리
테레비 많이 나오네	테.레.비.많.이.나.오.네
응	응
오오	오.오
배콤 어제 봤어	배.콤.어.제.봤.어
백홈에서	백.홈.에.서
백화점에서 봤구나	백.화.점.에.서.봤.구.나
어제 어 	어.제.어
비 봤고	비.봤.고
으응	으.응
그랬어	그.랬.어
응	응
응	응
그거	그.거
녹음기네	녹.음.기.네
찐이꺼랑 똑같은 녹음기 있나 찾아 보자	찐.이.꺼.랑.똑.같.은.녹.음.기.있.나.찾.아.보.자
저 녹음기는 금성이네	저.녹.음.기.는.금.성.이.네
지원이 꺼는	지.원.이.꺼.는
응	응
찐이 꺼랑 또꼬삐야	찐.이.꺼.랑.또.꼬.삐.야
으응	으.응
그래	그.래
저게 왜 니꺼니	저.게.왜.니.꺼.니
엄마 꺼지	엄.마.꺼.지
니꺼야	니.꺼.야
그래요	그.래.요
음	음
또꼬삐네	또.꼬.삐.네
응	응
어느 거	어.느.거
라디오	라.디.오
라디오	라.디.오
건 뭔데	건.뭔.데
피야	피.야
테레비	테.레.비
테레비 그래	테.레.비.그.래
인제	인.제
피 그러지 말고	피.그.러.지.말.고
피	피
그거는 라디오	그.거.는.라.디.오
녹음기	녹.음.기
뭐가	뭐.가
거 녹음기	거.녹.음.기
응	응
뭐가	뭐.가
녹음기	녹.음.기
녹음기 손잡이	녹.음.기.손.잡.이
헤헤헤	헤.헤.헤
야 이거 손잡이는 어디에 있니	야.이.거.손.잡.이.는.어.디.에.있.니
레고통 손잡이는 어딨어	레.고.통.손.잡.이.는.어.딨.어
손잡이 어디 있어	손.잡.이.어.디.있.어
손잡이 어디 있어	손.잡.이.어.디.있.어
손잡이가 뭔지 모르는구만	손.잡.이.가.뭔.지.모.르.는.구.만
이거 손잡이	이.거.손.잡.이
손잡이	손.잡.이
손을 잡는 것	손.을.잡.는.것
너 전철에도 왜 손잡이 있지	너.전.철.에.도.왜.손.잡.이.있.지
그거 손잡이라구 그러는 거야	그.거.손.잡.이.라.구.그.러.는.거.야
응	응
그거 손잡이	그.거.손.잡.이
야 지원아	야.지.원.아
지원이 어제 어디 갔었니	지.원.이.어.제.어.디.갔.었.니
백화점 갔어	백.화.점.갔.어
거기서 뭐 했는데	거.기.서.뭐.했.는.데
꼬까 샀어	꼬.까.샀.어
물 먹구	물.먹.구
말 타구	말.타.구
아빠 빵빵 타고 갔어	아.빠.빵.빵.타.고.갔.어
야 누구 꼬까 샀니	야.누.구.꼬.까.샀.니
찐 꼬까 샀어	찐.꼬.까.샀.어
엄마는 꼬까도 못 샀네	엄.마.는.꼬.까.도.못.샀.네
엄만 산 거 없네	엄.만.산.거.없.네
찐이만 샀네	찐.이.만.샀.네
야 그리고 저거는 언제 샀니	야.그.리.고.저.거.는.언.제.샀.니
저거 기역	저.거.기.역
가 나 저거 아 가 쓰는 거 이건 언제 샀니	가.나.저.거.아.가.쓰.는.거.이.건.언.제.샀.니
언제래니 또 시계 봐	언.제.래.니.또.시.계.봐
어흐흐	어.흐.흐
저거는 누가 사 줬어	저.거.는.누.가.사.줬.어
언제	언.제
응	응
어디서 사줬어	어.디.서.사.줬.어
백콤에서	백.콤.에.서
어제	어.제
어어	어.어
저거 좋으니	저.거.좋.으.니
으음	으.음
아빠하고 했어	아.빠.하.고.했.어
오오	오.오
그래요	그.래.요
응	응
요건 녹음 안되지	요.건.녹.음.안.되.지
야	야
야야야	야.야.야
어디 누워 너	어.디.누.워.너
응	응
아오	아.오
봐라	봐.라
팔 아퍼	팔.아.퍼
우와	우.와
뭔데	뭔.데
피야	피.야
음	음
봤어 가서	봤.어.가.서
으음	으.음
백콤 가서 봤어	백.콤.가.서.봤.어
왜	왜
찐 아기 아니다	찐.아.기.아.니.다
큰 애야	큰.애.야
찐이는 어떤 애라고 그랬지	찐.이.는.어.떤.애.라.고.그.랬.지
또	또
엄마구	엄.마.구
또	또
아빠구	아.빠.구
심통	심.통
어흐	어.흐
찐 똘똘이고 엄마는 뭐	찐.똘.똘.이.고.엄.마.는.뭐
심퉁	심.퉁
찐 똘똘이고 엄마 뭐	찐.똘.똘.이.고.엄.마.뭐
심퉁	심.퉁
아니지	아.니.지
찐이 심퉁이고 엄마 똘똘이지	찐.이.심.퉁.이.고.엄.마.똘.똘.이.지
아니 찐 쫄쫄	아.니.찐.쫄.쫄
야 찐이가 쫄쫄이야	야.찐.이.가.쫄.쫄.이.야
찐 똘똘이고 찐 심퉁이고	찐.똘.똘.이.고.찐.심.퉁.이.고
하하하 그래	하.하.하.그.래
찐 심통이고 흐흐흐 다시 뭐라고	찐.심.통.이.고.흐.흐.흐.다.시.뭐.라.고
찐 똘똘이고 엄마 심통이고	찐.똘.똘.이.고.엄.마.심.통.이.고
아니지	아.니.지
엄마 똘똘이고 찐 심퉁이지	엄.마.똘.똘.이.고.찐.심.퉁.이.지
얘 찐이는 어떤 애니	얘.찐.이.는.어.떤.애.니
왜 손톱은 그렇게 새까맣니	왜.손.톱.은.그.렇.게.새.까.맣.니
뭐 했어	뭐.했.어
응	응
손톱 좀 짤르자 너	손.톱.좀.짤.르.자.너
꿩	꿩
어느 거요	어.느.거.요
몰라요	몰.라.요
목욕탕 뭐	목.욕.탕.뭐
뭐	뭐
왜 왜 왜	왜.왜.왜
무슨 피	무.슨.피
어	어
피 뭐	피.뭐
빨래 다 됐는데	빨.래.다.됐.는.데
빨래 널러 갈까	빨.래.널.러.갈.까
녹음하자	녹.음.하.자
이게 뭐라고	이.게.뭐.라.고
우유	우.유
그 다음에 또 뭐하까	그.다.음.에.또.뭐.하.까
응	응
뭐 써 볼까 우리	뭐.써.볼.까.우.리
어	어
육	육
응	응
응	응
아가 	아.가
응	응
아가 해 봐	아.가.해.봐
지원이가 해 봐	지.원.이.가.해.봐
요거 찾고 요거 찾고	요.거.찾.고.요.거.찾.고
응	응
응 그거 하고	응.그.거.하.고
응	응
그래	그.래
여기 놓고	여.기.놓.고
그래	그.래
응	응
옳 지	옳.지
잘 놓네	잘.놓.네
응	응
그게 뭐야	그.게.뭐.야
이게 똑같애	이.게.똑.같.애
이거 하고	이.거.하.고
그건 동그래미네 공	그.건.동.그.래.미.네.공
요건 똑같이 만들어 봐	요.건.똑.같.이.만.들.어.봐
비슷하네	비.슷.하.네
요거랑 요거지	요.거.랑.요.거.지
요거 만들어 봐	요.거.만.들.어.봐
요기다가	요.기.다.가
그건 뭐야	그.건.뭐.야
응	응
아	아
그건 뭐야	그.건.뭐.야
응	응
응	응
얘 지원아 어제 누구네 집에 갔었니	얘.지.원.아.어.제.누.구.네.집.에.갔.었.니
아기 집에 아기 몇명 있었어	아.기.집.에.아.기.몇.명.있.었.어
둘 있었어	둘.있.었.어
어	어
어느 아기가 이뻤어	어.느.아.기.가.이.뻤.어
코 자는 아기가 이뻤어 걸어 다니는 아기가 이뻤어	코.자.는.아.기.가.이.뻤.어.걸.어.다.니.는.아.기.가.이.뻤.어
누가 이뻤어	누.가.이.뻤.어
어느 아기가 이뻤어	어.느.아.기.가.이.뻤.어
응	응
어느 아기가 이뻤어	어.느.아.기.가.이.뻤.어
뭐 하까	뭐.하.까
이제 뭐 만들어 보까	이.제.뭐.만.들.어.보.까
하버지	하.버.지
그래 하버지	그.래.하.버.지
하	하
버지 만들어 보세요	버.지.만.들.어.보.세.요
골라 봐	골.라.봐
응	응
어디	어.디
고거는 요렇게 되는거네 	고.거.는.요.렇.게.되.는.거.네
요기 이런 거 있네	요.기.이.런.거.있.네
